X	Feature Profile 1
41941.0719379	465
41971.1404379	465
42001.2088379	465
42031.2773379	465
42061.3458379	465
42091.4143379	465
42121.4828379	465
42151.5512379	465
42181.6197379	465
42211.6882379	465
42241.7567379	465
42271.8251379	465
42301.8936379	465
42331.9621379	465
42362.0306379	465
42392.0990379	465
42422.1675379	465
42452.2360379	465
42482.3045379	465
42512.3729379	465
42542.4414379	465
42572.5099379	465
42602.5784379	465
42632.6468379	465
42662.7153379	465
42692.7838379	465
42722.8523379	465
42752.9207379	465
42782.9892379	465
42813.0577379	465
42843.1262379	465
42873.1947379	465
42903.2631379	465
42933.3316379	465
42963.4001379	465
42993.4686379	465
43023.5370379	465
43053.6055379	465
43083.6740379	465
43113.7425379	465
43143.8109379	465
43173.8794379	465
43203.9479379	465
43234.0164379	465
43264.0848379	465
43294.1533379	465
43324.2218379	465
43354.2903379	465
43384.3587379	465
43414.4272379	465
43444.4957379	465
43474.5642379	465
43504.6327379	465
43534.7011379	465
43564.7696379	465
43594.8381379	465
43624.9066379	465
43654.9750379	465
43685.0435379	465
43715.1120379	465
43745.1805379	465
43775.2489379	465
43805.3174379	465
43835.3859379	465
43865.4544379	465
43895.5228379	465
43925.5913379	465
43955.6598379	465
43985.7283379	465
44015.7967379	465
44045.8652379	465
44075.9337379	465
44106.0022379	465
44136.0706379	465
44166.1391379	465
44196.2076379	465
44226.2761379	465
44256.3446379	465
44286.4130379	465
44316.4815379	465
44346.5500379	465
44376.6185379	465
44406.6869379	465
44436.7554379	465
44466.8239379	465
44496.8924379	465
44526.9608379	465
44557.0293379	465
44587.0978379	465
44617.1663379	465
44647.2347379	465
44677.3032379	465
44707.3717379	465
44737.4402379	465
44767.5086379	465
44797.5771379	465
44827.6456379	465
44857.7141379	465
44887.7826379	465
44917.8510379	465
44947.9195379	465
44977.9880379	465
45008.0565379	465
45050.5797477	465
45093.1030282	465
45135.6263087	465
45178.1495184	465
45220.6727282	465
45263.1960087	465
45305.7192892	465
45348.242499	465
45390.7657088	465
45433.2889893	465
45475.8122698	465
45518.3354796	465
45560.8586894	465
45603.3819699	465
45645.9052504	465
45688.4284602	465
45730.9517407	465
45773.4749505	465
45815.998231	465
45858.5214408	465
45901.0447213	465
45943.5679311	465
45986.0912116	465
46028.6144921	465
46071.1377018	465
46113.6609116	465
46156.1841921	465
46198.7074726	465
46241.2306824	466
46283.7538922	451
46313.8223922	447
46343.8908922	450
46373.9593922	455
46404.0277922	453
46434.0962922	451
46464.1647922	452
46494.2332922	454
46524.3016922	452
46554.3701922	454
46584.4386922	455
46614.5071922	453
46644.5756922	451
46674.6440922	452
46689.6773922	452

