Long,Lat,SAMPLE_1
71.16,20.88,"30"
71.16,21,"110"
71.16,21.12,"269"
71.16,21.24,"264"
71.16,21.36,"158"
71.16,21.48,"124"
71.16,21.6,"131"
71.16,21.72,"169"
71.16,21.84,"179"
71.16,21.96,"196"
71.16,22.08,"207"
71.16,22.2,"259"
71.16,22.32,"276"
71.16,22.44,"228"
71.16,22.56,"125"
71.16,22.68,"105"
71.16,22.8,"78"
71.16,22.92,"67"
71.16,23.04,"30"
71.16,23.16,"9"
71.16,23.28,"3"
71.16,23.4,"3"
71.16,23.52,"1"
71.16,23.64,"4"
71.16,23.76,"11"
71.16,23.88,"34"
71.16,24,"5"
71.16,24.12,"8"
71.16,24.24,"5"
71.16,24.36,"3"
71.16,24.48,"5"
71.16,24.6,"3"
71.16,24.72,"24"
71.16,24.84,"32"
71.16,24.96,"85"
71.16,25.08,"78"
71.16,25.2,"101"
71.16,25.32,"126"
71.16,25.44,"165"
71.16,25.56,"186"
71.16,25.68,"254"
71.16,25.8,"224"
71.16,25.92,"246"
71.16,26.04,"237"
71.16,26.16,"262"
71.16,26.28,"267"
71.16,26.4,"283"
71.16,26.52,"259"
71.16,26.64,"267"
71.16,26.76,"263"
71.16,26.88,"215"
71.16,27,"211"
71.16,27.12,"168"
71.16,27.24,"148"
71.16,27.36,"160"
71.16,27.48,"125"
71.16,27.6,"113"
71.16,27.72,"113"
71.28,20.88,"12"
71.28,21,"72"
71.28,21.12,"180"
71.28,21.24,"208"
71.28,21.36,"128"
71.28,21.48,"96"
71.28,21.6,"124"
71.28,21.72,"150"
71.28,21.84,"175"
71.28,21.96,"198"
71.28,22.08,"244"
71.28,22.2,"202"
71.28,22.32,"193"
71.28,22.44,"170"
71.28,22.56,"159"
71.28,22.68,"126"
71.28,22.8,"94"
71.28,22.92,"63"
71.28,23.04,"45"
71.28,23.16,"8"
71.28,23.28,"5"
71.28,23.4,"5"
71.28,23.52,"4"
71.28,23.64,"4"
71.28,23.76,"7"
71.28,23.88,"19"
71.28,24,"4"
71.28,24.12,"5"
71.28,24.24,"5"
71.28,24.36,"1"
71.28,24.48,"5"
71.28,24.6,"6"
71.28,24.72,"10"
71.28,24.84,"46"
71.28,24.96,"53"
71.28,25.08,"68"
71.28,25.2,"83"
71.28,25.32,"128"
71.28,25.44,"141"
71.28,25.56,"166"
71.28,25.68,"194"
71.28,25.8,"278"
71.28,25.92,"205"
71.28,26.04,"208"
71.28,26.16,"223"
71.28,26.28,"246"
71.28,26.4,"275"
71.28,26.52,"271"
71.28,26.64,"288"
71.28,26.76,"259"
71.28,26.88,"217"
71.28,27,"179"
71.28,27.12,"179"
71.28,27.24,"146"
71.28,27.36,"169"
71.28,27.48,"145"
71.28,27.6,"121"
71.28,27.72,"105"
71.28,27.84,"106"
71.4,20.88,"16"
71.4,21,"39"
71.4,21.12,"93"
71.4,21.24,"148"
71.4,21.36,"111"
71.4,21.48,"81"
71.4,21.6,"96"
71.4,21.72,"123"
71.4,21.84,"117"
71.4,21.96,"168"
71.4,22.08,"184"
71.4,22.2,"165"
71.4,22.32,"164"
71.4,22.44,"137"
71.4,22.56,"132"
71.4,22.68,"121"
71.4,22.8,"107"
71.4,22.92,"70"
71.4,23.04,"51"
71.4,23.16,"5"
71.4,23.28,"6"
71.4,23.4,"7"
71.4,23.52,"2"
71.4,23.64,"8"
71.4,23.76,"10"
71.4,23.88,"12"
71.4,24,"18"
71.4,24.12,"17"
71.4,24.24,"18"
71.4,24.36,"6"
71.4,24.48,"16"
71.4,24.6,"27"
71.4,24.72,"15"
71.4,24.84,"24"
71.4,24.96,"24"
71.4,25.08,"61"
71.4,25.2,"79"
71.4,25.32,"87"
71.4,25.44,"118"
71.4,25.56,"169"
71.4,25.68,"177"
71.4,25.8,"182"
71.4,25.92,"176"
71.4,26.04,"193"
71.4,26.16,"209"
71.4,26.28,"246"
71.4,26.4,"283"
71.4,26.52,"317"
71.4,26.64,"296"
71.4,26.76,"270"
71.4,26.88,"231"
71.4,27,"196"
71.4,27.12,"177"
71.4,27.24,"161"
71.4,27.36,"146"
71.4,27.48,"153"
71.4,27.6,"139"
71.4,27.72,"113"
71.4,27.84,"106"
71.52,21,"5"
71.52,21.12,"81"
71.52,21.24,"167"
71.52,21.36,"116"
71.52,21.48,"84"
71.52,21.6,"104"
71.52,21.72,"97"
71.52,21.84,"80"
71.52,21.96,"104"
71.52,22.08,"112"
71.52,22.2,"157"
71.52,22.32,"122"
71.52,22.44,"122"
71.52,22.56,"110"
71.52,22.68,"92"
71.52,22.8,"94"
71.52,22.92,"73"
71.52,23.04,"41"
71.52,23.16,"7"
71.52,23.28,"5"
71.52,23.4,"4"
71.52,23.52,"7"
71.52,23.64,"12"
71.52,23.76,"18"
71.52,23.88,"22"
71.52,24,"27"
71.52,24.12,"29"
71.52,24.24,"28"
71.52,24.36,"51"
71.52,24.48,"31"
71.52,24.6,"34"
71.52,24.72,"25"
71.52,24.84,"20"
71.52,24.96,"33"
71.52,25.08,"38"
71.52,25.2,"65"
71.52,25.32,"104"
71.52,25.44,"125"
71.52,25.56,"122"
71.52,25.68,"149"
71.52,25.8,"168"
71.52,25.92,"184"
71.52,26.04,"205"
71.52,26.16,"231"
71.52,26.28,"241"
71.52,26.4,"257"
71.52,26.52,"294"
71.52,26.64,"310"
71.52,26.76,"296"
71.52,26.88,"244"
71.52,27,"206"
71.52,27.12,"198"
71.52,27.24,"172"
71.52,27.36,"166"
71.52,27.48,"161"
71.52,27.6,"130"
71.52,27.72,"125"
71.52,27.84,"117"
71.64,21,"11"
71.64,21.12,"58"
71.64,21.24,"114"
71.64,21.36,"115"
71.64,21.48,"80"
71.64,21.6,"114"
71.64,21.72,"73"
71.64,21.84,"61"
71.64,21.96,"71"
71.64,22.08,"88"
71.64,22.2,"106"
71.64,22.32,"81"
71.64,22.44,"90"
71.64,22.56,"78"
71.64,22.68,"71"
71.64,22.8,"70"
71.64,22.92,"56"
71.64,23.04,"25"
71.64,23.16,"4"
71.64,23.28,"5"
71.64,23.4,"15"
71.64,23.52,"16"
71.64,23.64,"20"
71.64,23.76,"29"
71.64,23.88,"33"
71.64,24,"39"
71.64,24.12,"39"
71.64,24.24,"42"
71.64,24.36,"43"
71.64,24.48,"47"
71.64,24.6,"45"
71.64,24.72,"34"
71.64,24.84,"31"
71.64,24.96,"35"
71.64,25.08,"41"
71.64,25.2,"46"
71.64,25.32,"72"
71.64,25.44,"85"
71.64,25.56,"131"
71.64,25.68,"160"
71.64,25.8,"155"
71.64,25.92,"148"
71.64,26.04,"185"
71.64,26.16,"206"
71.64,26.28,"221"
71.64,26.4,"246"
71.64,26.52,"262"
71.64,26.64,"288"
71.64,26.76,"274"
71.64,26.88,"249"
71.64,27,"214"
71.64,27.12,"209"
71.64,27.24,"199"
71.64,27.36,"191"
71.64,27.48,"145"
71.64,27.6,"129"
71.64,27.72,"125"
71.64,27.84,"124"
71.76,21.12,"22"
71.76,21.24,"89"
71.76,21.36,"113"
71.76,21.48,"247"
71.76,21.6,"87"
71.76,21.72,"59"
71.76,21.84,"32"
71.76,21.96,"42"
71.76,22.08,"59"
71.76,22.2,"52"
71.76,22.32,"62"
71.76,22.44,"53"
71.76,22.56,"54"
71.76,22.68,"48"
71.76,22.8,"48"
71.76,22.92,"40"
71.76,23.04,"31"
71.76,23.16,"7"
71.76,23.28,"17"
71.76,23.4,"27"
71.76,23.52,"22"
71.76,23.64,"31"
71.76,23.76,"34"
71.76,23.88,"39"
71.76,24,"49"
71.76,24.12,"55"
71.76,24.24,"70"
71.76,24.36,"69"
71.76,24.48,"75"
71.76,24.6,"64"
71.76,24.72,"54"
71.76,24.84,"46"
71.76,24.96,"46"
71.76,25.08,"54"
71.76,25.2,"44"
71.76,25.32,"61"
71.76,25.44,"73"
71.76,25.56,"115"
71.76,25.68,"130"
71.76,25.8,"143"
71.76,25.92,"153"
71.76,26.04,"185"
71.76,26.16,"200"
71.76,26.28,"216"
71.76,26.4,"228"
71.76,26.52,"255"
71.76,26.64,"274"
71.76,26.76,"251"
71.76,26.88,"232"
71.76,27,"209"
71.76,27.12,"234"
71.76,27.24,"214"
71.76,27.36,"192"
71.76,27.48,"160"
71.76,27.6,"152"
71.76,27.72,"145"
71.76,27.84,"135"
71.88,21.12,"22"
71.88,21.24,"49"
71.88,21.36,"96"
71.88,21.48,"50"
71.88,21.6,"82"
71.88,21.72,"39"
71.88,21.84,"14"
71.88,21.96,"19"
71.88,22.08,"25"
71.88,22.2,"33"
71.88,22.32,"40"
71.88,22.44,"33"
71.88,22.56,"34"
71.88,22.68,"30"
71.88,22.8,"25"
71.88,22.92,"21"
71.88,23.04,"12"
71.88,23.16,"19"
71.88,23.28,"21"
71.88,23.4,"32"
71.88,23.52,"34"
71.88,23.64,"40"
71.88,23.76,"43"
71.88,23.88,"47"
71.88,24,"61"
71.88,24.12,"75"
71.88,24.24,"91"
71.88,24.36,"98"
71.88,24.48,"96"
71.88,24.6,"98"
71.88,24.72,"91"
71.88,24.84,"71"
71.88,24.96,"65"
71.88,25.08,"53"
71.88,25.2,"58"
71.88,25.32,"63"
71.88,25.44,"68"
71.88,25.56,"89"
71.88,25.68,"125"
71.88,25.8,"141"
71.88,25.92,"167"
71.88,26.04,"168"
71.88,26.16,"193"
71.88,26.28,"200"
71.88,26.4,"205"
71.88,26.52,"228"
71.88,26.64,"234"
71.88,26.76,"237"
71.88,26.88,"249"
71.88,27,"227"
71.88,27.12,"239"
71.88,27.24,"237"
71.88,27.36,"217"
71.88,27.48,"184"
71.88,27.6,"156"
71.88,27.72,"135"
71.88,27.84,"132"
72,21.24,"26"
72,21.36,"26"
72,21.48,"63"
72,21.6,"119"
72,21.72,"52"
72,21.84,"10"
72,21.96,"9"
72,22.08,"8"
72,22.2,"8"
72,22.32,"15"
72,22.44,"15"
72,22.56,"13"
72,22.68,"10"
72,22.8,"8"
72,22.92,"15"
72,23.04,"21"
72,23.16,"27"
72,23.28,"30"
72,23.4,"37"
72,23.52,"40"
72,23.64,"49"
72,23.76,"55"
72,23.88,"63"
72,24,"74"
72,24.12,"92"
72,24.24,"114"
72,24.36,"124"
72,24.48,"127"
72,24.6,"126"
72,24.72,"134"
72,24.84,"116"
72,24.96,"88"
72,25.08,"76"
72,25.2,"68"
72,25.32,"95"
72,25.44,"82"
72,25.56,"93"
72,25.68,"95"
72,25.8,"108"
72,25.92,"117"
72,26.04,"145"
72,26.16,"175"
72,26.28,"199"
72,26.4,"214"
72,26.52,"220"
72,26.64,"229"
72,26.76,"223"
72,26.88,"230"
72,27,"235"
72,27.12,"241"
72,27.24,"249"
72,27.36,"209"
72,27.48,"195"
72,27.6,"172"
72,27.72,"151"
72,27.84,"139"
72,27.96,"147"
72,28.08,"129"
72,28.2,"123"
72.12,21.36,"19"
72.12,21.48,"70"
72.12,21.6,"106"
72.12,21.72,"34"
72.12,21.84,"5"
72.12,21.96,"8"
72.12,22.08,"6"
72.12,22.2,"7"
72.12,22.32,"8"
72.12,22.44,"11"
72.12,22.56,"10"
72.12,22.68,"10"
72.12,22.8,"10"
72.12,22.92,"19"
72.12,23.04,"25"
72.12,23.16,"31"
72.12,23.28,"42"
72.12,23.4,"47"
72.12,23.52,"52"
72.12,23.64,"55"
72.12,23.76,"69"
72.12,23.88,"80"
72.12,24,"89"
72.12,24.12,"122"
72.12,24.24,"132"
72.12,24.36,"151"
72.12,24.48,"165"
72.12,24.6,"175"
72.12,24.72,"177"
