Longitude,Latitude
72.12,22.92
72.12,23.04
72.12,23.16
72.12,23.28
72.12,23.4
72.12,23.52
72.12,23.64
72.12,23.76
72.12,23.88
72.12,24
72.12,24.12
72.12,24.24
72.12,24.36
72.12,24.48
72.12,24.6
72.12,24.72
72.12,24.84
72.12,24.96
72.12,25.08
72.12,25.2
72.12,25.32
72.12,25.44
72.12,25.56
72.12,25.68
72.12,25.8
72.12,25.92
72.12,26.04
72.12,26.16
72.12,26.28
72.12,26.4
72.12,26.52
72.12,26.64
72.12,26.76
72.12,26.88
72.12,27
72.12,27.12
72.12,27.24
72.12,27.36
72.12,27.48
72.12,27.6
72.12,27.72
72.12,27.84
72.12,27.96
72.12,28.08
72.12,28.2
72.24,21.48
72.24,21.6
72.24,21.72
72.24,21.84
72.24,22.08
72.24,22.2
72.24,22.32
72.24,22.44
72.24,22.56
72.24,22.68
72.24,22.8
72.24,22.92
72.24,23.04
72.24,23.16
72.24,23.28
72.24,23.4
72.24,23.52
72.24,23.64
72.24,23.76
72.24,23.88
72.24,24
72.24,24.12
72.24,24.24
72.24,24.36
72.24,24.48
72.24,24.6
72.24,24.72
72.24,24.84
72.24,24.96
72.24,25.08
72.24,25.2
72.24,25.32
72.24,25.44
72.24,25.56
72.24,25.68
72.24,25.8
72.24,25.92
72.24,26.04
72.24,26.16
72.24,26.28
72.24,26.4
72.24,26.52
72.24,26.64
72.24,26.76
72.24,26.88
72.24,27
72.24,27.12
72.24,27.24
72.24,27.36
72.24,27.48
72.24,27.6
72.24,27.72
72.24,27.84
72.24,27.96
72.24,28.08
72.24,28.2
72.24,28.32
72.24,28.44
72.36,21.6
72.36,22.2
72.36,22.32
72.36,22.44
72.36,22.56
72.36,22.68
72.36,22.8
72.36,22.92
72.36,23.04
72.36,23.16
72.36,23.28
72.36,23.4
72.36,23.52
72.36,23.64
72.36,23.76
72.36,23.88
72.36,24
72.36,24.12
72.36,24.24
72.36,24.36
72.36,24.48
72.36,24.6
72.36,24.72
72.36,24.84
72.36,24.96
72.36,25.08
72.36,25.2
72.36,25.32
72.36,25.44
72.36,25.56
72.36,25.68
72.36,25.8
72.36,25.92
72.36,26.04
72.36,26.16
72.36,26.28
72.36,26.4
72.36,26.52
72.36,26.64
72.36,26.76
72.36,26.88
72.36,27
72.36,27.12
72.36,27.24
72.36,27.36
72.36,27.48
72.36,27.6
72.36,27.72
72.36,27.84
72.36,27.96
72.36,28.08
72.36,28.2
72.36,28.32
72.36,28.44
72.36,28.56
72.36,28.68
72.48,22.2
72.48,22.32
72.48,22.44
72.48,22.56
72.48,22.68
72.48,22.8
72.48,22.92
72.48,23.04
72.48,23.16
72.48,23.28
72.48,23.4
72.48,23.52
72.48,23.64
72.48,23.76
72.48,23.88
72.48,24
72.48,24.12
72.48,24.24
72.48,24.36
72.48,24.48
72.48,24.6
72.48,24.72
72.48,24.84
72.48,24.96
72.48,25.08
72.48,25.2
72.48,25.32
72.48,25.44
72.48,25.56
72.48,25.68
72.48,25.8
72.48,25.92
72.48,26.04
72.48,26.16
72.48,26.28
72.48,26.4
72.48,26.52
72.48,26.64
72.48,26.76
72.48,26.88
72.48,27
72.48,27.12
72.48,27.24
72.48,27.36
72.48,27.48
72.48,27.6
72.48,27.72
72.48,27.84
72.48,27.96
72.48,28.08
72.48,28.2
72.48,28.32
72.48,28.44
72.48,28.56
72.48,28.68
72.48,28.8
72.6,21.72
72.6,21.84
72.6,21.96
72.6,22.08
72.6,22.2
72.6,22.32
72.6,22.44
72.6,22.56
72.6,22.68
72.6,22.8
72.6,22.92
72.6,23.04
72.6,23.16
72.6,23.28
72.6,23.4
72.6,23.52
72.6,23.64
72.6,23.76
72.6,23.88
72.6,24
72.6,24.12
72.6,24.24
72.6,24.36
72.6,24.48
72.6,24.6
72.6,24.72
72.6,24.84
72.6,24.96
72.6,25.08
72.6,25.2
72.6,25.32
72.6,25.44
72.6,25.56
72.6,25.68
72.6,25.8
72.6,25.92
72.6,26.04
72.6,26.16
72.6,26.28
72.6,26.4
72.6,26.52
72.6,26.64
72.6,26.76
72.6,26.88
72.6,27
72.6,27.12
72.6,27.24
72.6,27.36
72.6,27.48
72.6,27.6
72.6,27.72
72.6,27.84
72.6,27.96
72.6,28.08
72.6,28.2
72.6,28.32
72.6,28.44
72.6,28.56
72.6,28.68
72.6,28.8
72.72,19.56
72.72,19.68
72.72,19.8
72.72,19.92
72.72,20.04
72.72,21.12
72.72,21.24
72.72,21.36
72.72,21.48
72.72,21.6
72.72,21.72
72.72,21.84
72.72,21.96
72.72,22.08
72.72,22.32
72.72,22.44
72.72,22.56
72.72,22.68
72.72,22.8
72.72,22.92
72.72,23.04
72.72,23.16
72.72,23.28
72.72,23.4
72.72,23.52
72.72,23.64
72.72,23.76
72.72,23.88
72.72,24
72.72,24.12
72.72,24.24
72.72,24.36
72.72,24.48
72.72,24.6
72.72,24.72
72.72,24.84
72.72,24.96
72.72,25.08
72.72,25.2
72.72,25.32
72.72,25.44
72.72,25.56
72.72,25.68
72.72,25.8
72.72,25.92
72.72,26.04
72.72,26.16
72.72,26.28
72.72,26.4
72.72,26.52
72.72,26.64
72.72,26.76
72.72,26.88
72.72,27
72.72,27.12
72.72,27.24
72.72,27.36
72.72,27.48
72.72,27.6
72.72,27.72
72.72,27.84
72.72,27.96
72.72,28.08
72.72,28.2
72.72,28.32
72.72,28.44
72.72,28.56
72.72,28.68
72.72,28.8
72.72,28.92
72.72,35.88
72.72,36
72.72,36.12
72.72,36.24
72.84,18.96
72.84,19.08
72.84,19.2
72.84,19.32
72.84,19.44
72.84,19.56
72.84,19.68
72.84,19.8
72.84,19.92
72.84,20.04
72.84,20.16
72.84,20.28
72.84,20.4
72.84,20.88
72.84,21
72.84,21.12
72.84,21.24
72.84,21.36
72.84,21.48
72.84,21.6
72.84,21.72
72.84,21.84
72.84,21.96
72.84,22.08
72.84,22.2
72.84,22.32
72.84,22.44
72.84,22.56
72.84,22.68
72.84,22.8
72.84,22.92
72.84,23.04
72.84,23.16
72.84,23.28
72.84,23.4
72.84,23.52
72.84,23.64
72.84,23.76
72.84,23.88
72.84,24
72.84,24.12
72.84,24.24
72.84,24.36
72.84,24.48
72.84,24.6
72.84,24.72
72.84,24.84
72.84,24.96
72.84,25.08
72.84,25.2
72.84,25.32
72.84,25.44
72.84,25.56
72.84,25.68
72.84,25.8
72.84,25.92
72.84,26.04
72.84,26.16
72.84,26.28
72.84,26.4
72.84,26.52
72.84,26.64
72.84,26.76
72.84,26.88
72.84,27
72.84,27.12
72.84,27.24
72.84,27.36
72.84,27.48
72.84,27.6
72.84,27.72
72.84,27.84
72.84,27.96
72.84,28.08
72.84,28.2
72.84,28.32
72.84,28.44
72.84,28.56
72.84,28.68
72.84,28.8
72.84,28.92
72.84,35.88
72.84,36
72.84,36.12
72.84,36.24
72.96,18.24
72.96,18.36
72.96,18.48
72.96,18.6
72.96,18.72
72.96,18.96
72.96,19.08
72.96,19.2
72.96,19.32
72.96,19.44
72.96,19.56
72.96,19.68
72.96,19.8
72.96,19.92
72.96,20.04
72.96,20.16
72.96,20.28
72.96,20.4
72.96,20.52
72.96,20.64
72.96,20.76
72.96,20.88
72.96,21
72.96,21.12
72.96,21.24
72.96,21.36
72.96,21.48
72.96,21.6
72.96,21.72
72.96,21.84
72.96,21.96
72.96,22.08
72.96,22.2
72.96,22.32
72.96,22.44
72.96,22.56
72.96,22.68
72.96,22.8
72.96,22.92
72.96,23.04
72.96,23.16
72.96,23.28
72.96,23.4
72.96,23.52
72.96,23.64
72.96,23.76
72.96,23.88
72.96,24
72.96,24.12
72.96,24.24
72.96,24.36
72.96,24.48
72.96,24.6
72.96,24.72
72.96,24.84
72.96,24.96
72.96,25.08
72.96,25.2
72.96,25.32
72.96,25.44
72.96,25.56
72.96,25.68
72.96,25.8
72.96,25.92
