long,lat,Distance,Elevation,L-Mean,L-CV,L-Skew,L-Kurtosis,,,,,,,,,,,,,,,,,
76,13.25,111139,845,52.76083176,0.176424215,0.145202881,0.202115504,,,,,,,,,,-0.600972784,-1.711232813,-0.952839638,0.076119512,-1.237596833,-0.917974177,-1.359484984,0.073892832
76.5,13.25,166708.5,848,59.20825817,0.217472721,0.258880764,0.171167779,,,,,,,,,,-0.515631431,-1.711232813,-0.814215506,0.07849593,-1.001469233,-0.428735993,0.218424687,-0.377618623
77,13.25,222278,802,65.33536054,0.205203661,0.238587529,0.19520259,,,,,,,,,,-0.430290078,-1.711232813,-0.675591374,0.042057511,-0.777073035,-0.574965252,-0.063256243,-0.026963042
77.5,13.25,277847.5,913,67.06856731,0.184430491,0.099496047,0.103518355,,,,,,,,,,-0.344948725,-1.711232813,-0.536967243,0.129985002,-0.713596861,-0.822551071,-1.993920227,-1.364589065
78,13.25,222278,844,63.19933002,0.184219834,0.139319755,0.139642243,,,,,,,,,,-0.259607372,-1.711232813,-0.675591374,0.075327372,-0.855302041,-0.825061795,-1.441145911,-0.837560044
78.5,13.25,166708.5,744,75.17036633,0.199282038,0.222648425,0.156543323,,,,,,,,,,-0.174266019,-1.711232813,-0.814215506,-0.003886583,-0.416880275,-0.645542342,-0.284499511,-0.590981944
79,13.25,111139,367,87.73157819,0.209953483,0.132256946,0.102751874,,,,,,,,,,-0.088924666,-1.711232813,-0.952839638,-0.302523196,0.043155811,-0.518354318,-1.539181469,-1.37577163
79.5,13.25,55569.5,148,99.37256353,0.251157499,0.203592084,0.132603583,,,,,,,,,,-0.003583313,-1.711232813,-1.091463769,-0.476001759,0.469489941,-0.027262681,-0.549011691,-0.940250488
80,13.25,0,30,138.8488392,0.247714056,0.213034715,0.192243344,,,,,,,,,,0.08175804,-1.711232813,-1.230087901,-0.569474226,1.915251031,-0.068303488,-0.417942935,-0.070136925
75,13.75,0,627,172.462093,0.166771949,0.116975273,0.127623972,,,,,,,,,,-0.77165549,-1.626953062,-1.230087901,-0.096566911,3.146287485,-1.033015078,-1.751299244,-1.012900461
75.5,13.75,55569.5,635,69.89102725,0.22338912,0.208872752,0.201152392,,,,,,,,,,-0.686314137,-1.626953062,-1.091463769,-0.090229795,-0.610228378,-0.358221166,-0.475713202,0.059841521
76,13.75,111139,770,61.73383036,0.202804054,0.129371988,0.162003403,,,,,,,,,,-0.600972784,-1.626953062,-0.952839638,0.016709045,-0.908973831,-0.60356506,-1.579226225,-0.511322174
76.5,13.75,166708.5,721,53.31724822,0.17911396,0.16164511,0.191229536,,,,,,,,,,-0.515631431,-1.626953062,-0.814215506,-0.022105793,-1.217218891,-0.885916349,-1.131258072,-0.084927865
77,13.75,222278,696,58.45452267,0.201417705,0.264900251,0.22315703,,,,,,,,,,-0.430290078,-1.626953062,-0.675591374,-0.041909282,-1.029073698,-0.620088313,0.301978378,0.380877918
77.5,13.75,277847.5,657,64.85848528,0.184048943,0.160301172,0.111200574,,,,,,,,,,-0.344948725,-1.626953062,-0.536967243,-0.072802725,-0.794537896,-0.827098566,-1.149912649,-1.252509425
78,13.75,222278,766,56.02773243,0.178714437,0.175914385,0.244174951,,,,,,,,,,-0.259607372,-1.626953062,-0.675591374,0.013540487,-1.117951355,-0.890678079,-0.933192921,0.687518619
78.5,13.75,166708.5,622,65.46978222,0.238886113,0.336954903,0.236100097,,,,,,,,,,-0.174266019,-1.626953062,-0.814215506,-0.100527609,-0.772150036,-0.173519663,1.302135394,0.569710635
79,13.75,111139,470,84.53571544,0.260914577,0.269894499,0.195969719,,,,,,,,,,-0.088924666,-1.626953062,-0.952839638,-0.220932822,-0.073888006,0.089027425,0.371301205,-0.015771023
79.5,13.75,55569.5,174,131.6285763,0.237127113,0.213844276,0.223687736,,,,,,,,,,-0.003583313,-1.626953062,-1.091463769,-0.45540613,1.65081942,-0.194484372,-0.406705796,0.388620647
80,13.75,0,8,128.4500791,0.236951479,0.212502784,0.137974402,,,,,,,,,,0.08175804,-1.626953062,-1.230087901,-0.586901297,1.534411591,-0.196577673,-0.425326421,-0.86189299
74.5,14.25,0,1,163.4956788,0.162588527,0.202670926,0.1327886,,,,,,,,,,-0.856996843,-1.542673311,-1.230087901,-0.592446274,2.817905627,-1.082875352,-0.561797856,-0.937551184
75,14.25,55569.5,603,98.01064815,0.218864894,0.228553965,0.145329884,,,,,,,,,,-0.77165549,-1.542673311,-1.091463769,-0.115578261,0.419611775,-0.412143326,-0.202527464,-0.754580275
75.5,14.25,78587.13921,685,66.08895928,0.214698565,0.203855261,0.243776319,,,,,,,,,,-0.686314137,-1.542673311,-1.034043777,-0.050622817,-0.749473578,-0.461799877,-0.545358654,0.681702782
76,14.25,124257.1813,594,52.28782739,0.21629261,0.198538497,0.201455567,,,,,,,,,,-0.600972784,-1.542673311,-0.920114915,-0.122707517,-1.254919929,-0.442801191,-0.619158175,0.064264689
76.5,14.25,175726.1906,655,62.42016829,0.206001708,0.179665368,0.16681446,,,,,,,,,,-0.515631431,-1.542673311,-0.791719901,-0.074387004,-0.883837704,-0.565453699,-0.881127276,-0.441131317
77,14.25,229118.9125,584,60.60722036,0.226977779,0.197180375,0.148527758,,,,,,,,,,-0.430290078,-1.542673311,-0.658525978,-0.130628912,-0.950234281,-0.315449596,-0.638009633,-0.707924932
77.5,14.25,277847.5,619,63.73607025,0.186262766,0.190500024,0.204777766,,,,,,,,,,-0.344948725,-1.542673311,-0.536967243,-0.102904028,-0.835644712,-0.800713032,-0.73073647,0.112733871
78,14.25,222278,472,63.12734851,0.18810613,0.228275706,0.239524997,,,,,,,,,,-0.259607372,-1.542673311,-0.675591374,-0.219348543,-0.857938259,-0.778742828,-0.206389848,0.619678172
78.5,14.25,166708.5,257,72.966407,0.220645797,0.281128763,0.189456971,,,,,,,,,,-0.174266019,-1.542673311,-0.814215506,-0.389658547,-0.497597074,-0.390917565,0.527238784,-0.11078868
79,14.25,111139,187,88.34126619,0.22443746,0.222317864,0.18124312,,,,,,,,,,-0.088924666,-1.542673311,-0.952839638,-0.445108316,0.065484746,-0.345726485,-0.289087874,-0.230624558
79.5,14.25,55569.5,111,113.5972852,0.229554151,0.198132401,0.181190905,,,,,,,,,,-0.003583313,-1.542673311,-1.091463769,-0.505310922,0.990449651,-0.284743008,-0.624795005,-0.231386349
80,14.25,0,6,132.1051846,0.25557133,0.196743526,0.140074104,,,,,,,,,,0.08175804,-1.542673311,-1.230087901,-0.588485576,1.668274505,0.025343732,-0.644073331,-0.831259413
74.5,14.75,0,103,139.7126868,0.188828735,0.16790655,0.096542029,,,,,,,,,,-0.856996843,-1.458393561,-1.230087901,-0.511648039,1.946888191,-0.770130433,-1.044345944,-1.466370088
75,14.75,55569.5,600,79.88543844,0.21727717,0.209212098,0.140700877,,,,,,,,,,-0.77165549,-1.458393561,-1.091463769,-0.11795468,-0.244197627,-0.431066675,-0.471002899,-0.822115116
75.5,14.75,111139,595,58.71200668,0.230383318,0.330587739,0.302094374,,,,,,,,,,-0.686314137,-1.458393561,-0.952839638,-0.121915377,-1.019643721,-0.27486055,1.21375576,1.532533331
76,14.75,157174.2784,670,54.63444995,0.222530228,0.167251163,0.133599203,,,,,,,,,,-0.600972784,-1.458393561,-0.837999654,-0.062504911,-1.168978296,-0.368457903,-1.053443065,-0.925724902
76.5,14.75,200358.6798,638,56.38300654,0.195480823,0.132593659,0.143330679,,,,,,,,,,-0.515631431,-1.458393561,-0.730271491,-0.087853376,-1.104939958,-0.690847268,-1.534507713,-0.783747652
77,14.75,248514.3626,484,56.91059197,0.178994485,0.135684925,0.151773824,,,,,,,,,,-0.430290078,-1.458393561,-0.610141929,-0.209842868,-1.085617911,-0.887340316,-1.491599291,-0.660566491
77.5,14.75,277847.5,381,66.14850294,0.213315954,0.157842481,0.146042753,,,,,,,,,,-0.344948725,-1.458393561,-0.536967243,-0.291433242,-0.747292879,-0.478278579,-1.184040591,-0.744179882
78,14.75,222278,260,58.31930785,0.209541927,0.205763911,0.176892372,,,,,,,,,,-0.259607372,-1.458393561,-0.675591374,-0.387282129,-1.034025744,-0.523259464,-0.518865574,-0.294099743
78.5,14.75,166708.5,161,64.0595895,0.191545403,0.11846176,0.180423005,,,,,,,,,,-0.174266019,-1.458393561,-0.814215506,-0.465703945,-0.82379629,-0.737751721,-1.730666011,-0.242589616
79,14.75,111139,132,84.26859038,0.268251017,0.29411102,0.208835121,,,,,,,,,,-0.088924666,-1.458393561,-0.952839638,-0.488675992,-0.083671073,0.176467065,0.707439438,0.171928602
79.5,14.75,55569.5,78,111.5394451,0.230710968,0.127617225,0.100669043,,,,,,,,,,-0.003583313,-1.458393561,-1.091463769,-0.531451528,0.915084255,-0.270955441,-1.603583272,-1.406159068
80,14.75,0,5,129.7310047,0.24953103,0.191519531,0.130515586,,,,,,,,,,0.08175804,-1.458393561,-1.230087901,-0.589277715,1.581323625,-0.046647814,-0.716585169,-0.970713294
74,15.25,0,21,148.3888027,0.168430546,0.150235797,0.145050997,,,,,,,,,,-0.942338196,-1.37411381,-1.230087901,-0.576603482,2.264638297,-1.013247026,-1.289625424,-0.758649094
74.5,15.25,55569.5,546,109.0986492,0.188636525,0.22525902,0.141514262,,,,,,,,,,-0.856996843,-1.37411381,-1.091463769,-0.160730216,0.825693661,-0.772421295,-0.248263059,-0.810248246
75,15.25,78587.13921,570,57.01443311,0.233865977,0.308398159,0.224835238,,,,,,,,,,-0.77165549,-1.37411381,-1.034043777,-0.141718866,-1.08181488,-0.233352346,0.90575255,0.405362113
75.5,15.25,124257.1813,658,59.56965604,0.226654972,0.270248196,0.276343019,,,,,,,,,,-0.686314137,-1.37411381,-0.920114915,-0.072010585,-0.988233563,-0.319296984,0.376210708,1.156834253
76,15.25,175726.1906,534,52.50791621,0.197786184,0.144420335,0.160003555,,,,,,,,,,-0.600972784,-1.37411381,-0.791719901,-0.17023589,-1.246859497,-0.663370735,-1.37034714,-0.540498932
76.5,15.25,229118.9125,583,55.30601998,0.206408425,0.220868431,0.222507796,,,,,,,,,,-0.515631431,-1.37411381,-0.658525978,-0.131421052,-1.144383022,-0.560606227,-0.309206777,0.371405926
77,15.25,277847.5,426,55.44642386,0.178248373,0.153415937,0.148368755,,,,,,,,,,-0.430290078,-1.37411381,-0.536967243,-0.255786962,-1.139240935,-0.896232881,-1.245483384,-0.710244704
77.5,15.25,277847.5,430,63.93659109,0.199214254,0.179192386,0.133495648,,,,,,,,,,-0.344948725,-1.37411381,-0.536967243,-0.252618404,-0.828300928,-0.646350228,-0.887692519,-0.927235716
78,15.25,222278,416,65.50223706,0.222877244,0.283263163,0.269195886,,,,,,,,,,-0.259607372,-1.37411381,-0.675591374,-0.263708358,-0.770961425,-0.364321979,0.556865395,1.052561243
78.5,15.25,166708.5,195,67.45965467,0.263220374,0.380592878,0.284212367,,,,,,,,,,-0.174266019,-1.37411381,-0.814215506,-0.4387712,-0.699273857,0.116509155,1.90785377,1.271644009
79,15.25,111139,252,71.85999421,0.270079146,0.293353591,0.228785727,,,,,,,,,,-0.088924666,-1.37411381,-0.952839638,-0.393619245,-0.538117831,0.19825569,0.696925919,0.462997724
79.5,15.25,55569.5,123,97.83106502,0.267769378,0.206968465,0.137115882,,,,,,,,,,-0.003583313,-1.37411381,-1.091463769,-0.495805248,0.413034804,0.170726632,-0.502145722,-0.874418357
80,15.25,0,22,104.5535958,0.251861321,0.150265286,0.108911619,,,,,,,,,,0.08175804,-1.37411381,-1.230087901,-0.575811343,0.659237701,-0.018874152,-1.289216101,-1.285904106
