Longitude,Latitude,Elevation (m),Distance (m),L-CV,L-Skew,L-kurtosis,,,,,,,,,,,Longitude,Latitude,Elevation (m),Distance (m),L-CV,L-Skew,L-kurtosis
79.75,11,7,0,0.296977295,0.285725632,0.219790776,,,,,,,,,,,0.058674708,-2.100703817,-0.583006776,-1.243235881,0.517947484,0.644597685,0.384973037
76,11.25,32,27784.75,0.19518978,0.264837686,0.183262346,,,,,,,,,,,-0.585090382,-2.058562313,-0.562996914,-1.173808689,-0.706499917,0.330421121,-0.19806783
76.25,11.25,44,39293.5696,0.213519709,0.219377148,0.183242212,,,,,,,,,,,-0.542172709,-2.058562313,-0.553392181,-1.145051006,-0.486001028,-0.353352938,-0.198389195
76.5,11.25,2269,62128.59065,0.223302192,0.182261233,0.195265936,,,,,,,,,,,-0.499255037,-2.058562313,1.227485494,-1.087991957,-0.368323179,-0.911615135,-0.006475048
76.75,11.25,932,87863.09528,0.222955249,0.29752821,0.226280349,,,,,,,,,,,-0.456337364,-2.058562313,0.1573581,-1.023687819,-0.372496711,0.822120808,0.488554994
77,11.25,351,114559.4563,0.310668603,0.272938,0.194721273,,,,,,,,,,,-0.413419691,-2.058562313,-0.307671081,-0.95698024,0.682646332,0.45225832,-0.015168572
77.25,11.25,352,141674.9828,0.185712541,0.106253808,0.162206217,,,,,,,,,,,-0.370502019,-2.058562313,-0.306870687,-0.889225271,-0.82050585,-2.054846337,-0.534150813
77.5,11.25,302,169008.0414,0.173055255,0.110953849,0.200218967,,,,,,,,,,,-0.327584346,-2.058562313,-0.34689041,-0.820926744,-0.972765987,-1.984152803,0.072581716
77.75,11.25,196,177909.2088,0.193853917,0.199598318,0.177787613,,,,,,,,,,,-0.284666673,-2.058562313,-0.431732223,-0.798684936,-0.722569608,-0.650847236,-0.285451632
78,11.25,158,157174.2784,0.204154731,0.14471406,0.158654205,,,,,,,,,,,-0.241749001,-2.058562313,-0.462147212,-0.850496379,-0.598656524,-1.476363904,-0.590845507
78.25,11.25,174,138923.75,0.250274806,0.203925495,0.340236521,,,,,,,,,,,-0.198831328,-2.058562313,-0.449340901,-0.896099919,-0.043857579,-0.585761966,2.307442511
78.5,11.25,174,117880.7055,0.234289368,0.120671143,0.288657418,,,,,,,,,,,-0.155913655,-2.058562313,-0.449340901,-0.948681263,-0.23615354,-1.837994533,1.484173486
78.75,11.25,170,100179.3399,0.243381129,0.226078605,0.291404132,,,,,,,,,,,-0.112995983,-2.058562313,-0.452542479,-0.992912581,-0.126784693,-0.252556012,1.528014585
79,11.25,114,78587.13921,0.278320065,0.17802411,0.224756546,,,,,,,,,,,-0.07007831,-2.058562313,-0.497364568,-1.04686613,0.293511346,-0.975345899,0.464233132
79.25,11.25,99,55569.5,0.266952542,0.202929814,0.194249701,,,,,,,,,,,-0.027160637,-2.058562313,-0.509370485,-1.104381496,0.156766343,-0.600738051,-0.02269547
79.5,11.25,23,27784.75,0.255066215,0.157947876,0.139303544,,,,,,,,,,,0.015757035,-2.058562313,-0.570200464,-1.173808689,0.013780416,-1.277313465,-0.89970702
79.75,11.25,6,0,0.270011449,0.223447505,0.196751459,,,,,,,,,,,0.058674708,-2.058562313,-0.58380717,-1.243235881,0.193563299,-0.292130509,0.017235815
75.75,11.5,22,0,0.169441087,0.165762681,0.170739322,,,,,,,,,,,-0.628008055,-2.016420809,-0.571000859,-1.243235881,-1.016242425,-1.15977062,-0.397951449
76,11.5,121,27784.75,0.19607003,0.16959517,0.16734253,,,,,,,,,,,-0.585090382,-2.016420809,-0.491761807,-1.173808689,-0.695910997,-1.102125976,-0.452168631
76.25,11.5,883,55569.5,0.227605364,0.270849909,0.291656554,,,,,,,,,,,-0.542172709,-2.016420809,0.118138772,-1.104381496,-0.316558404,0.420851246,1.532043566
76.5,11.5,977,78587.13921,0.263806711,0.222020629,0.18726075,,,,,,,,,,,-0.499255037,-2.016420809,0.193375851,-1.04686613,0.118923739,-0.313592217,-0.134248144
76.75,11.5,1173,100179.3399,0.277542546,0.358437673,0.21882249,,,,,,,,,,,-0.456337364,-2.016420809,0.350253165,-0.992912581,0.284158223,1.738262864,0.369517943
77,11.5,391,124257.1813,0.213569916,0.238718916,0.225234379,,,,,,,,,,,-0.413419691,-2.016420809,-0.275655303,-0.932748033,-0.485397066,-0.062432509,0.471859963
77.25,11.5,235,149625.4559,0.208187821,0.211555723,0.240784428,,,,,,,,,,,-0.370502019,-2.016420809,-0.400516839,-0.869359013,-0.550140686,-0.470995353,0.720058806
77.5,11.5,202,175726.1906,0.175580624,0.201041625,0.18994781,,,,,,,,,,,-0.327584346,-2.016420809,-0.426929856,-0.804139757,-0.942387197,-0.629138389,-0.0913592
77.75,11.5,205,196467.8513,0.176995703,0.194376178,0.168790216,,,,,,,,,,,-0.284666673,-2.016420809,-0.424528672,-0.752311496,-0.925364581,-0.729393686,-0.429061695
78,11.5,235,169008.0414,0.206606868,0.15178399,0.259530891,,,,,,,,,,,-0.241749001,-2.016420809,-0.400516839,-0.820926744,-0.569158675,-1.37002476,1.01927654
78.25,11.5,274,141674.9828,0.203282744,0.160557011,0.115057428,,,,,,,,,,,-0.198831328,-2.016420809,-0.369301455,-0.889225271,-0.609146045,-1.238069344,-1.286706311
78.5,11.5,342,114559.4563,0.192236592,0.190754873,0.137104037,,,,,,,,,,,-0.155913655,-2.016420809,-0.314874631,-0.95698024,-0.742025132,-0.783861902,-0.93481399
78.75,11.5,166,87863.09528,0.253880441,0.309551562,0.208971212,,,,,,,,,,,-0.112995983,-2.016420809,-0.455744056,-1.023687819,-0.000483788,1.002964603,0.212278837
79,11.5,99,62128.59065,0.306776416,0.185690282,0.282083703,,,,,,,,,,,-0.07007831,-2.016420809,-0.509370485,-1.087991957,0.635825479,-0.86003865,1.379248514
